CGPA,Internships,Projects,AptitudeScore,CommunicationSkill,Salary
6.14,3,2,62,1,1229409.46
7.14,3,8,47,7,1639129.6
9.09,2,3,57,3,1634736.06
9.3,3,9,51,6,1829646.38
5.03,4,4,94,2,1243782.03
7.55,5,6,70,9,1755606.58
7.09,4,5,53,1,1335015.51
6.11,2,1,73,6,1308007.66
5.6,4,9,57,6,1409864.62
6.69,5,1,95,5,1543068.66
9.71,1,8,73,5,1734832.99
6.62,2,9,50,1,1296526.99
7.59,1,9,80,5,1683155.6
8.52,0,1,51,2,1278651.01
6.82,1,2,88,7,1545310.37
9.86,0,1,54,3,1529514.63
9.81,0,2,96,4,1742607.39
6.26,1,8,70,3,1292952.74
7.49,2,5,88,3,1468342.92
6.5,5,7,97,4,1673280.67
6.42,4,2,68,5,1345514.9
5.18,4,8,65,1,1280157.19
8.05,5,6,57,4,1680804.01
7.51,0,8,71,8,1700699.84
5.26,0,1,61,7,1153175.61
6.39,2,1,77,9,1537635.32
9.54,3,7,56,5,1800089.7
6.2,1,8,62,4,1392410.51
5.72,0,3,63,8,1342635.62
7.45,4,5,89,9,1844064.31
9.93,2,1,47,7,1700632.47
6.21,1,7,80,7,1454110.64
8.36,2,5,45,5,1625150.65
8.81,1,8,44,4,1733417.29
6.19,1,8,83,1,1232717.75
8.64,5,9,96,7,2026874.0
6.84,0,7,68,1,1285870.71
8.16,2,1,67,1,1307504.32
8.17,2,3,50,5,1556317.77
7.68,5,8,96,9,2042867.31
5.45,4,3,40,6,1287801.13
9.18,4,8,82,3,1889663.58
6.6,0,1,58,3,1130009.92
5.93,0,5,48,7,1251619.68
5.2,3,4,66,6,1224181.95
7.95,5,5,73,9,1916932.54
8.39,4,8,83,6,1974453.02
5.08,1,4,43,5,1008161.57
7.56,2,4,75,7,1563910.75
6.13,0,3,57,1,1042941.35
8.23,2,7,54,7,1706529.59
5.87,2,3,90,3,1289959.11
8.45,3,3,52,9,1720034.09
6.93,4,5,58,6,1628722.91
9.68,0,5,88,9,1912945.03
5.69,2,6,45,5,1302649.28
6.71,0,8,87,7,1562213.87
5.57,1,6,95,4,1322174.75
9.62,3,1,51,7,1793741.68
9.39,1,8,90,1,1696124.4
6.29,0,8,76,7,1403290.05
8.3,0,9,56,8,1763367.84
9.09,4,9,97,5,2047706.36
7.78,2,2,62,2,1244257.48
7.65,2,2,65,5,1430289.99
6.21,1,3,68,6,1366318.02
5.47,3,1,72,2,1036053.57
9.49,5,4,99,6,2072978.34
9.5,2,4,66,6,1770938.87
8.17,4,9,64,1,1704414.13
6.7,1,9,95,1,1403942.66
6.75,1,9,94,3,1450896.6
8.63,5,7,49,3,1743004.28
9.49,4,2,86,4,1805280.73
9.44,3,5,62,2,1633257.44
8.9,4,4,60,9,2018917.17
8.21,3,8,60,7,1746645.09
5.42,4,2,82,7,1314252.23
5.81,4,6,52,6,1522284.95
9.49,0,5,76,3,1582621.83
8.03,1,2,72,6,1504761.34
5.05,4,1,63,8,1322104.7
5.51,5,8,83,8,1651717.43
8.32,4,2,50,9,1720090.38
5.03,2,7,56,1,1036759.13
5.8,1,9,43,1,1143237.99
7.74,2,9,86,3,1611700.62
8.46,1,8,64,3,1613718.11
8.26,2,9,69,8,1867334.7
6.12,4,2,48,1,1122024.39
8.56,4,6,60,2,1642626.06
6.19,0,4,59,2,1078908.08
6.63,5,4,58,3,1390016.98
8.73,2,5,58,6,1721071.58
8.25,3,3,51,1,1401933.74
9.25,0,1,76,2,1422622.5
8.29,2,8,81,1,1535021.64
7.84,2,5,56,5,1482403.16
5.47,0,3,76,7,1338838.4
6.84,4,7,93,8,1811505.93
6.33,2,7,87,1,1281043.55
6.22,4,1,78,7,1499793.29
9.87,0,9,67,5,1863500.81
6.97,4,2,80,1,1374775.88
9.46,1,5,74,3,1720901.07
8.16,3,5,86,7,1715059.34
8.97,2,8,87,1,1577833.9
7.51,5,8,57,7,1815225.87
7.88,3,7,53,5,1643424.81
7.46,4,7,74,1,1365224.99
5.98,2,6,83,1,1225421.2
8.61,4,6,80,1,1612766.88
6.4,1,9,99,9,1630402.69
5.12,0,6,46,3,971847.91
8.23,2,2,80,5,1607389.39
5.89,1,2,52,9,1271929.75
9.7,1,5,57,6,1700843.89
9.77,2,4,76,9,1879459.73
9.57,4,2,52,8,1937845.48
6.85,5,3,75,8,1713731.62
5.08,1,7,70,1,959982.19
9.64,3,8,41,9,1940688.0
7.14,1,6,55,6,1488225.89
9.83,5,5,48,9,2122669.63
9.82,4,1,48,3,1709441.94
9.27,4,8,77,3,1845615.85
6.47,3,3,50,6,1294831.16
6.93,1,6,93,9,1714112.45
9.26,4,3,95,7,1936355.16
6.58,5,7,61,3,1521043.1
5.85,2,7,72,3,1304128.98
7.78,0,9,75,2,1395823.53
9.68,0,5,84,9,1916812.51
8.48,0,8,62,3,1534922.95
7.85,1,8,84,5,1622710.56
5.49,3,1,84,9,1469355.29
8.08,4,5,73,8,1764900.02
9.95,2,3,48,2,1579549.86
5.7,5,1,63,3,1269306.37
7.59,2,4,47,2,1245053.62
9.39,5,8,46,8,2031945.17
8.7,1,3,75,6,1670682.26
8.49,0,2,57,6,1464638.45
8.51,1,9,42,9,1780494.25
6.8,3,5,67,8,1640117.2
6.47,3,7,45,4,1377009.99
9.05,5,2,83,4,1780110.13
9.05,4,9,83,9,2061164.82
9.34,4,9,60,1,1765053.16
9.57,5,4,67,2,1762657.58
7.56,3,4,79,2,1499154.49
7.51,3,6,93,6,1748373.0
8.99,3,6,93,4,1857360.45
8.25,1,1,40,3,1279586.98
8.51,3,9,75,3,1632370.95
8.98,2,2,60,3,1564681.99
9.45,0,5,99,6,1817556.05
6.69,3,9,82,8,1712035.42
6.88,5,4,74,7,1705347.01
5.47,0,3,52,4,974970.51
7.89,1,7,96,4,1671312.01
5.18,5,6,88,2,1348918.77
7.33,0,8,93,1,1357153.62
7.71,5,3,93,9,1858114.92
6.43,1,5,49,2,1162025.75
7.95,2,4,92,8,1749399.4
5.15,1,4,83,9,1379414.01
5.19,1,4,86,4,1169319.63
9.11,5,8,92,8,2149211.98
6.8,4,6,49,9,1673413.96
5.64,3,3,85,5,1324421.35
7.61,3,5,52,7,1584290.47
8.85,2,6,76,4,1730418.28
6.08,2,5,77,1,1251816.3
8.11,3,6,63,3,1585056.82
5.43,4,8,41,5,1420809.77
5.26,3,7,61,3,1161133.62
7.66,4,5,56,7,1663980.27
7.7,2,6,75,9,1701184.14
8.19,0,4,53,6,1594613.61
8.63,5,9,49,1,1733260.99
9.88,2,4,74,7,1883646.9
7.58,2,1,64,3,1385849.53
6.61,1,7,42,5,1400013.78
8.98,1,7,86,4,1775881.58
6.35,1,4,77,5,1389085.17
7.19,5,3,56,5,1542672.98
5.39,1,8,51,6,1264731.73
5.13,4,5,93,6,1411490.54
9.81,3,7,91,8,2120322.36
9.18,0,4,63,8,1702653.21
8.48,2,4,68,9,1760676.45
7.04,4,8,82,8,1787266.93
5.87,0,8,64,2,1248909.63
5.78,4,2,75,1,1256234.02
6.25,4,2,97,2,1462519.69
7.75,2,3,99,2,1508450.81
8.57,3,3,65,3,1571247.72
8.3,1,1,77,7,1580729.88
6.4,5,3,40,2,1241984.92
9.77,3,6,59,1,1626329.05
8.69,5,8,94,6,2040167.05
7.77,2,6,67,9,1696666.06
8.06,2,5,55,3,1487772.89
7.1,2,4,86,6,1605773.33
6.24,0,3,56,3,1078527.3
6.78,5,4,79,1,1541124.08
8.79,3,7,67,5,1731265.24
5.07,3,1,97,4,1283909.74
5.58,4,7,51,7,1498837.81
5.23,4,1,66,6,1350304.76
5.2,4,2,93,7,1377190.12
9.28,2,4,92,5,1904951.05
8.52,3,1,81,4,1591461.25
7.37,5,9,98,7,1967232.4
5.49,2,6,86,7,1519024.37
7.46,0,1,69,6,1336966.9
7.37,4,1,80,8,1710686.32
5.87,2,6,73,4,1294826.52
7.17,2,4,76,5,1558248.08
6.99,0,4,45,4,1195790.96
8.08,1,6,46,1,1349525.35
8.18,3,7,71,8,1854906.04
5.23,5,9,71,1,1394814.99
6.87,1,5,92,5,1573823.82
8.13,4,9,64,6,1810001.55
7.52,2,4,72,6,1615336.74
9.28,0,2,94,5,1744112.92
8.29,0,3,97,3,1489086.67
5.81,3,1,46,5,1182693.36
5.35,1,6,91,8,1348498.31
8.21,3,6,96,2,1747363.79
5.13,2,1,51,6,1121377.78
7.93,3,3,55,9,1651532.08
9.7,5,5,55,8,1956083.5
7.88,0,3,82,8,1536439.29
6.94,0,3,92,8,1549785.26
8.22,4,3,75,7,1819293.43
7.29,4,5,52,8,1708406.09
7.73,2,5,46,6,1537216.89
9.71,5,4,75,2,1757923.97
6.93,1,1,86,2,1208102.95
9.81,3,5,90,8,1986869.03
9.53,2,5,48,1,1581241.05
5.98,4,4,71,6,1417434.38
5.35,3,6,50,6,1296287.69
5.5,4,4,47,4,1251825.64
5.09,3,7,72,3,1188309.99
5.47,1,7,62,3,1189738.57
8.42,2,2,64,1,1387042.36
5.36,3,3,95,3,1332410.46
6.59,5,1,47,4,1325806.72
9.22,0,8,84,5,1693440.22
5.12,5,9,61,3,1373697.02
9.07,5,4,98,6,1917495.44
6.41,0,6,43,5,1250157.73
5.59,5,9,79,3,1409803.26
8.48,3,6,42,6,1653332.73
8.14,3,9,68,6,1749381.42
9.39,3,4,80,8,1965187.85
8.68,0,8,68,2,1485071.76
9.02,5,9,73,1,1729595.21
6.41,0,4,73,4,1238109.0
5.89,3,5,67,7,1478794.31
8.75,5,8,52,3,1762439.74
9.03,5,6,54,3,1735033.86
9.95,4,7,99,5,2032421.89
7.06,4,3,62,5,1513847.4
6.86,1,7,83,3,1372727.56
8.88,2,8,65,9,1904175.85
6.7,4,6,43,4,1480522.33
9.65,0,9,65,3,1632933.85
9.29,4,6,79,2,1779616.65
7.14,1,9,48,9,1546350.53
8.75,5,4,94,4,1853396.48
8.77,1,8,44,3,1505459.54
5.52,5,4,95,7,1628379.59
9.51,5,2,71,8,1900352.63
7.53,2,9,59,2,1507703.95
9.13,4,5,89,7,2028656.55
6.6,0,4,50,5,1190465.53
9.48,0,2,54,5,1506505.75
6.95,3,1,71,3,1294790.22
5.05,5,7,67,5,1407706.87
9.53,0,6,61,2,1582471.09
5.46,2,2,80,4,1176824.75
6.6,5,8,56,6,1593952.09
9.75,2,4,98,1,1603062.31
9.75,0,8,65,4,1805097.38
7.87,0,7,83,6,1692424.78
8.16,3,5,46,9,1780211.85
7.24,0,8,81,2,1351280.82
6.47,5,9,96,7,1856785.11
6.64,5,5,65,6,1654235.35
8.36,5,5,64,2,1637487.59
8.76,3,2,49,8,1720268.43
8.96,3,5,98,7,1985788.41
8.95,0,3,84,5,1518976.93
5.46,1,7,58,5,1304121.14
7.47,1,5,50,7,1485942.31
5.29,3,8,52,9,1445171.08
7.75,0,1,92,9,1539484.68
7.21,1,3,47,9,1447963.89
9.44,0,3,79,6,1624296.46
6.75,0,9,43,6,1492569.45
5.59,0,5,86,3,1198360.15
5.71,4,9,70,1,1413424.14
8.81,5,9,67,7,2041318.41
8.09,0,1,50,4,1308861.38
5.51,4,2,82,1,1200937.77
5.42,3,5,40,8,1345524.37
8.5,1,4,88,6,1658210.88
5.36,5,9,86,6,1545794.83
9.11,1,7,91,2,1725291.31
8.53,5,6,77,1,1603938.34
5.41,1,7,63,2,1090269.47
5.42,5,1,93,4,1465001.71
9.93,1,1,99,2,1650408.64
6.87,1,8,96,1,1411285.52
6.85,1,2,86,7,1491866.93
9.06,1,9,70,8,1815183.13
9.74,3,7,80,6,1904110.33
9.93,0,6,85,4,1734355.28
8.77,2,1,89,6,1639231.95
6.88,4,1,65,3,1361852.2
5.42,2,2,88,8,1408677.46
8.89,2,6,89,2,1733258.15
7.79,5,6,44,5,1707354.42
7.12,0,2,59,1,1071686.16
9.53,5,1,91,6,1912851.8
5.56,0,5,80,2,1079852.74
7.46,0,5,50,4,1279371.96
5.06,1,2,95,6,1169991.24
7.34,3,6,93,8,1863015.62
5.28,1,9,72,8,1445132.11
5.59,3,2,89,6,1366588.49
5.59,5,2,77,4,1386012.88
8.25,3,3,66,8,1759687.31
8.73,5,7,73,8,2067541.28
7.92,2,6,54,1,1365216.92
9.81,2,8,71,4,1870336.11
6.87,3,8,97,4,1579841.3
6.43,3,6,60,7,1522092.1
9.34,5,3,85,7,1983637.13
6.12,1,3,44,8,1319124.2
9.82,5,1,45,5,1793916.06
5.06,1,7,77,7,1383291.55
9.85,2,5,61,8,1880150.58
5.22,0,4,57,9,1266483.71
9.46,3,4,53,3,1626254.76
7.64,1,4,49,3,1479837.63
9.96,5,6,85,4,1964556.78
5.37,2,8,52,5,1265367.37
7.77,1,8,70,1,1476532.4
9.85,5,5,69,7,2022526.74
7.62,3,6,42,9,1744552.31
8.15,3,4,69,8,1762651.13
8.48,4,9,45,5,1757440.54
7.27,0,8,68,4,1398762.23
8.14,4,1,47,7,1583358.17
7.92,2,2,83,5,1529783.95
9.51,1,9,84,7,1939480.18
5.23,2,8,82,1,1172005.94
6.4,5,3,83,1,1376538.38
9.75,3,8,72,3,1801294.24
9.45,4,1,56,2,1644795.06
7.28,4,4,87,2,1561968.12
8.1,4,3,50,7,1641783.74
6.39,2,6,52,2,1214791.35
5.94,3,7,89,4,1473695.84
7.32,1,4,50,2,1321668.3
6.77,5,7,70,6,1761733.18
7.92,1,9,67,8,1676262.86
5.39,2,2,83,4,1256115.24
9.87,5,3,45,5,1841322.33
9.93,4,5,80,4,1914490.51
8.49,0,3,55,3,1404035.62
7.68,2,8,43,5,1526552.13
6.55,2,8,74,9,1722835.03
9.07,3,8,99,8,2126598.11
8.42,1,9,87,8,1939464.21
5.81,2,4,95,8,1410004.26
9.55,2,5,98,8,1973517.14
9.11,4,5,65,7,1796438.47
9.75,4,8,96,8,2139736.0
8.63,5,7,51,8,1813725.06
8.07,0,9,50,8,1685913.33
7.09,3,8,76,7,1719765.48
9.66,0,2,64,1,1419569.94
9.33,5,4,57,4,1761042.59
5.23,4,6,58,4,1327301.58
5.13,1,2,62,5,1051028.9
6.88,4,7,94,6,1668626.89
9.05,3,3,77,4,1641879.19
9.94,4,3,93,2,1816607.95
5.75,3,2,57,6,1271884.62
7.97,3,8,65,8,1802188.1
6.9,3,6,45,8,1609090.44
9.85,5,1,43,7,1914164.83
9.21,3,1,83,6,1841724.04
9.19,3,7,90,2,1780806.85
7.34,1,8,68,7,1632179.46
7.07,0,5,98,5,1476842.32
6.37,2,5,73,6,1364690.72
5.28,0,4,56,8,1203115.15
9.32,3,6,82,8,1966145.09
9.06,1,6,82,3,1627659.36
10.0,4,3,92,7,2028953.03
9.98,1,9,55,1,1666625.97
7.78,3,7,41,1,1372283.66
8.84,1,1,73,7,1627248.7
9.72,1,7,94,9,2001447.48
9.25,3,5,47,7,1675037.86
6.24,5,5,52,5,1409946.55
7.25,1,2,81,8,1537445.72
5.65,2,4,47,2,1153594.57
9.77,2,6,69,9,1868039.84
8.03,1,7,71,6,1598080.42
6.14,5,5,75,9,1718372.69
8.36,4,9,86,2,1810109.77
8.09,3,3,69,3,1501794.32
6.79,2,1,40,8,1345660.88
5.57,4,4,82,1,1315385.54
8.36,1,9,78,7,1832004.64
7.6,4,4,56,7,1702930.92
8.86,0,2,98,1,1423796.8
7.6,2,5,59,9,1729684.71
9.26,1,3,63,8,1647946.56
7.76,3,9,89,4,1789761.5
7.8,5,4,61,5,1665673.39
9.38,1,6,68,2,1616046.71
7.02,3,2,61,9,1538137.37
5.67,5,6,83,6,1478698.68
5.14,5,3,48,3,1211185.21
8.78,1,9,76,7,1864169.73
8.1,4,2,49,9,1764134.62
8.52,4,9,75,3,1822138.93
6.06,5,5,76,2,1428608.08
5.68,4,8,67,7,1516410.68
5.07,0,2,67,7,1177773.8
6.75,5,6,81,4,1561218.88
7.95,5,3,82,9,1940353.21
6.96,3,5,60,8,1606000.91
7.19,4,8,63,1,1489264.54
9.52,5,1,81,1,1743696.33
6.74,0,5,99,5,1480873.43
7.57,3,3,79,6,1648931.93
8.92,1,4,41,3,1422377.11
6.98,5,2,94,9,1817733.48
8.11,0,9,47,6,1538460.52
9.31,2,3,87,4,1752595.07
9.75,0,2,66,7,1626741.84
5.74,0,9,61,8,1412116.0
9.63,3,7,76,9,2027555.44
7.46,1,6,66,6,1576696.78
6.29,2,1,96,6,1463558.34
7.3,4,5,68,8,1734949.83
9.9,4,3,42,5,1797305.46
7.46,0,1,83,3,1324408.86
6.64,3,4,52,3,1378855.74
8.17,3,2,84,6,1674265.56
6.2,4,2,49,2,1196016.23
5.38,2,3,75,6,1317963.37
5.64,1,8,48,6,1217863.63
5.64,2,8,93,8,1621282.58
5.76,5,7,95,7,1645690.65
5.69,5,6,94,8,1672788.61
8.2,1,9,66,9,1862802.57
5.91,4,4,73,6,1447424.52
6.73,1,1,90,3,1304970.44
9.48,3,8,40,3,1784545.44
7.37,5,7,71,1,1567901.65
8.34,0,7,64,5,1583372.41
5.86,0,3,68,4,1136228.21
5.96,4,4,46,9,1518979.9
5.2,3,9,88,9,1567179.76
5.84,2,6,42,5,1262113.1
6.39,3,5,59,4,1314389.72
5.89,0,3,59,7,1193861.64
5.44,0,9,92,6,1293652.55
5.6,5,5,69,4,1427196.41
7.3,3,5,74,2,1537580.11
6.03,3,4,74,1,1212794.71
6.82,0,4,88,4,1390656.68
7.52,2,1,78,4,1477684.64
8.45,4,7,66,1,1567043.14
5.2,4,9,65,6,1434810.3
9.0,3,3,53,4,1673539.9
8.14,4,2,56,1,1430182.93
5.41,0,3,57,1,870660.56
9.37,0,1,84,1,1409557.02
9.6,3,6,91,8,2065983.01
5.31,3,7,68,8,1446503.17
6.38,5,2,59,2,1183873.16
9.03,3,8,92,7,1973499.34
8.74,2,6,66,8,1804750.34
5.92,4,4,57,8,1501861.32
6.05,3,5,43,7,1472944.17
6.85,1,8,40,5,1394676.14
7.42,5,3,89,1,1534546.87
8.09,1,3,40,9,1628576.85
6.84,0,4,97,7,1492317.2
7.31,4,1,65,2,1484026.04
8.74,3,9,84,6,1852614.59
5.18,1,8,59,2,1081892.61
6.26,4,8,91,1,1494897.92
8.57,0,6,62,7,1707115.68
9.48,2,7,49,2,1629560.25
7.56,5,6,98,2,1630668.94
7.66,4,9,50,5,1782249.48
5.54,4,3,80,5,1340181.56
7.24,2,3,80,7,1580752.72
7.66,4,3,44,1,1431907.59
6.21,0,3,97,8,1409119.74
6.35,0,9,40,3,1195893.61
6.89,2,4,56,4,1327115.61
5.1,5,7,61,9,1625077.56
6.61,3,9,73,4,1600207.39
6.06,1,7,95,5,1438886.27
6.64,3,9,84,7,1797954.11
5.6,4,3,80,4,1348598.33
9.45,1,4,68,1,1592616.66
7.97,2,8,43,9,1723799.92
8.4,2,6,44,4,1666687.83
8.95,5,5,50,9,2037506.57
7.49,1,4,95,6,1567401.27
5.43,0,8,90,1,1233327.01
7.69,1,1,60,3,1366999.02
7.93,4,9,74,2,1756252.05
8.73,0,1,51,9,1461500.68
7.16,2,8,65,1,1430167.57
5.64,1,4,90,9,1483914.94
6.42,3,9,58,9,1702953.66
6.82,5,5,84,8,1776317.32
8.23,3,3,99,8,1841990.56
7.85,5,9,46,1,1659157.02
6.78,4,9,86,8,1843573.67
9.93,3,4,94,3,1854445.32
8.03,1,4,46,7,1588569.05
6.19,1,8,65,1,1248701.31
5.51,3,2,79,1,1163878.42
5.76,1,9,44,5,1391551.86
6.23,4,6,60,5,1455875.96
5.8,0,9,53,8,1324214.48
5.93,4,8,43,7,1524218.18
6.43,5,7,62,8,1713327.17
5.87,4,1,81,6,1448476.45
9.48,5,3,59,6,1884965.8
5.4,1,2,54,2,1027755.96
7.62,0,5,89,6,1671630.83
7.05,1,5,91,5,1534075.72
9.91,2,5,84,3,1835065.77
5.56,1,4,68,6,1254723.43
6.99,5,5,47,8,1605537.15
9.85,1,3,80,9,1792094.42
9.33,1,1,87,1,1469665.97
9.09,0,5,58,3,1380781.42
6.29,1,9,87,3,1436477.45
5.85,0,9,78,8,1461859.15
8.34,3,4,85,1,1480131.26
9.65,2,3,67,5,1740543.71
7.78,0,1,85,3,1296668.39
7.86,5,2,96,2,1633738.81
6.4,3,8,66,8,1671381.32
8.85,0,1,43,3,1300908.29
5.94,0,8,97,7,1471935.94
6.62,2,7,54,1,1282144.79
7.13,5,8,74,6,1697247.89
7.54,4,6,76,3,1613540.38
6.21,4,9,40,8,1538649.07
5.57,0,3,42,6,1137685.85
8.05,1,4,86,2,1432241.82
6.44,5,6,63,6,1529972.86
7.91,3,8,66,7,1748201.32
5.77,1,5,79,5,1277516.27
7.41,1,3,75,3,1412626.04
7.66,5,6,73,4,1706865.23
5.26,0,4,68,4,1047386.13
6.68,0,9,63,6,1538053.31
5.67,0,3,63,1,1015724.52
5.32,0,4,81,4,1124583.88
9.95,4,7,43,4,1780308.29
6.61,0,7,42,1,1112970.32
9.05,4,4,73,9,1953974.35
6.27,4,6,96,4,1568851.62
8.41,0,3,88,7,1658562.83
8.8,2,6,62,3,1652329.1
7.98,3,2,92,3,1473026.63
7.36,1,8,95,8,1748625.24
7.06,4,2,91,8,1682219.21
6.74,5,7,62,1,1593698.86
9.65,5,9,84,2,1968234.72
9.15,3,1,44,8,1693867.34
9.83,5,8,70,1,1885118.44
5.62,2,7,92,8,1544971.59
8.65,5,6,80,8,1898548.03
9.69,1,6,96,2,1751215.22
5.91,1,6,96,4,1341672.1
5.33,4,9,99,6,1600265.44
8.71,0,2,93,9,1690521.57
7.87,2,1,45,8,1469704.29
9.21,4,6,76,8,2047144.12
5.7,2,8,96,7,1607422.83
8.98,0,3,49,9,1680504.93
6.01,5,1,79,2,1222660.12
5.82,5,9,46,3,1455553.17
5.82,0,1,78,8,1187603.17
9.07,4,3,77,6,1801341.22
8.33,0,8,60,9,1782877.92
7.62,3,3,59,4,1509279.92
6.79,1,4,42,8,1433648.37
9.39,4,8,90,3,1982445.13
6.96,2,1,61,3,1291200.76
9.08,3,6,86,8,1866649.04
7.2,4,1,43,5,1399523.46
6.88,0,1,67,3,1169519.58
7.31,0,8,51,1,1262262.91
6.51,0,4,77,3,1201343.24
8.74,0,1,90,9,1652292.19
7.51,2,7,75,5,1721237.25
6.16,3,5,86,2,1332762.76
9.5,5,5,80,7,2152580.1
6.92,1,1,44,2,1060335.48
7.72,2,6,52,4,1525253.0
9.53,2,9,62,7,1946082.07
8.12,5,9,97,4,1854302.52
5.58,5,8,89,7,1643222.14
9.7,1,5,69,7,1825243.5
8.14,1,1,76,1,1277594.17
6.67,5,9,64,6,1694592.97
5.7,0,1,87,9,1211754.88
8.97,2,8,66,2,1689975.8
8.1,4,5,90,3,1748357.58
7.67,1,3,53,5,1427118.19
9.47,1,7,96,9,2122612.91
8.94,5,7,87,4,1952904.81
5.76,3,9,98,1,1457340.48
6.56,4,7,86,4,1642118.14
6.24,4,3,93,6,1405249.33
8.72,1,1,75,5,1567583.66
5.17,0,8,78,1,1025253.25
7.85,3,3,55,4,1432954.83
8.81,4,8,95,6,1931851.34
9.38,1,8,61,4,1702964.21
6.71,4,5,60,9,1702723.0
9.11,3,1,93,5,1768899.49
5.55,3,7,60,8,1490370.93
9.23,2,5,47,9,1869734.17
5.64,5,8,88,5,1629974.32
6.99,5,9,55,6,1740931.21
